

|Skills        |Country     |   n| mean|Job                       |
|sql           |Finland     |   9|  115|Data Engineer             |
|sql           |Finland     |   9|  115|Senior Data Scientist     |
|sql           |Finland     |   9|  115|Senior Data Engineer      |
|sql           |Finland     |   9|  115|Senior Data Analyst       |
|sql           |Finland     |   9|  115|Machine Learning Engineer |
|sql           |Finland     |   9|  115|Data Analyst              |
|tableau       |Netherlands |   8|  115|Business Analyst          |
|tableau       |Netherlands |   8|  115|Data Analyst              |
|tableau       |Netherlands |   8|  115|Data Scientist            |
|tableau       |Netherlands |   8|  115|Senior Data Engineer      |
|html          |Spain       |   3|  115|Data Engineer             |
|html          |Spain       |   3|  115|Data Scientist            |
|vba           |Netherlands |   1|  115|Data Analyst              |
|vba           |Portugal    |   2|  115|Senior Data Analyst       |
|vba           |Portugal    |   2|  115|Data Analyst              |
|vba           |France      |   3|  115|Data Analyst              |
|terminal      |Germany     |   1|  115|Data Analyst              |
|ssrs          |Belgium     |   1|  115|Data Analyst              |
|sharepoint    |France      |   1|  115|Data Analyst              |
|react         |Romania     |   1|  115|Senior Data Analyst       |
|qlik          |Romania     |   1|  115|Senior Data Analyst       |
|qlik          |Germany     |   1|  115|Senior Data Analyst       |
|npm           |Romania     |   1|  115|Senior Data Analyst       |
|node.js       |Romania     |   1|  115|Senior Data Analyst       |
|no-sql        |Germany     |   1|  115|Data Analyst              |
|matlab        |Finland     |   1|  115|Senior Data Analyst       |
|html          |Germany     |   1|  115|Senior Data Analyst       |
|express       |Ireland     |   1|  115|Data Analyst              |
|elasticsearch |Germany     |   1|  115|Data Analyst              |
|dax           |Sweden      |   1|  115|Senior Data Analyst       |
|css           |Germany     |   1|  115|Senior Data Analyst       |
|angular       |Romania     |   1|  115|Senior Data Analyst       |
|c#            |France      |   3|  114|Software Engineer         |
|c#            |France      |   3|  114|Data Engineer             |
|c#            |France      |   3|  114|Data Scientist            |
|ssis          |Greece      |   7|  114|Data Engineer             |
|ssis          |Greece      |   7|  114|Software Engineer         |
|tableau       |Portugal    |  25|  114|Data Analyst              |
|tableau       |Portugal    |  25|  114|Senior Data Scientist     |
|tableau       |Portugal    |  25|  114|Data Engineer             |
|tableau       |Portugal    |  25|  114|Data Scientist            |
|tableau       |Portugal    |  25|  114|Senior Data Engineer      |
|tableau       |Portugal    |  25|  114|Senior Data Analyst       |
|spark         |Poland      |  67|  114|Data Analyst              |
|spark         |Poland      |  67|  114|Data Engineer             |
|spark         |Poland      |  67|  114|Data Scientist            |
|spark         |Poland      |  67|  114|Software Engineer         |
|spark         |Poland      |  67|  114|Senior Data Engineer      |
|spark         |Poland      |  67|  114|Machine Learning Engineer |
|spark         |Poland      |  67|  114|Senior Data Scientist     |
|spark         |Poland      |  67|  114|Cloud Engineer            |
|git           |France      |  36|  114|Machine Learning Engineer |
|git           |France      |  36|  114|Senior Data Engineer      |
|git           |France      |  36|  114|Data Analyst              |
|git           |France      |  36|  114|Data Engineer             |
|git           |France      |  36|  114|Software Engineer         |
|git           |France      |  36|  114|Senior Data Scientist     |
|git           |France      |  36|  114|Data Scientist            |
|git           |France      |  36|  114|Senior Data Analyst       |
|git           |France      |  36|  114|Business Analyst          |
|gcp           |Italy       |   2|  114|Data Engineer             |
|windows       |Germany     |   6|  114|Data Scientist            |
|windows       |Germany     |   6|  114|Machine Learning Engineer |
|windows       |Germany     |   6|  114|Software Engineer         |
|airflow       |Poland      |  25|  114|Data Engineer             |
|airflow       |Poland      |  25|  114|Senior Data Engineer      |
|airflow       |Poland      |  25|  114|Data Analyst              |
|airflow       |Poland      |  25|  114|Machine Learning Engineer |
|airflow       |Poland      |  25|  114|Senior Data Scientist     |
|airflow       |Poland      |  25|  114|Data Scientist            |
|airflow       |Poland      |  25|  114|Business Analyst          |
|airflow       |Poland      |  25|  114|Senior Data Analyst       |
|visio         |Spain       |   2|  114|Data Engineer             |
|visio         |Spain       |   2|  114|Data Analyst              |
|shell         |Greece      |   2|  114|Machine Learning Engineer |
|shell         |Greece      |   2|  114|Data Engineer             |
|tableau       |Ireland     |  19|  113|Data Analyst              |
|tableau       |Ireland     |  19|  113|Data Scientist            |
|tableau       |Ireland     |  19|  113|Data Engineer             |
|tableau       |Ireland     |  19|  113|Senior Data Analyst       |
|tableau       |Ireland     |  19|  113|Machine Learning Engineer |
|tableau       |Ireland     |  19|  113|Senior Data Scientist     |
|tableau       |Ireland     |  19|  113|Senior Data Engineer      |
|go            |Germany     |  21|  113|Senior Data Engineer      |
|go            |Germany     |  21|  113|Data Scientist            |
|go            |Germany     |  21|  113|Data Analyst              |
|go            |Germany     |  21|  113|Software Engineer         |
|go            |Germany     |  21|  113|Senior Data Analyst       |
|go            |Germany     |  21|  113|Machine Learning Engineer |
|go            |Germany     |  21|  113|Data Engineer             |
|sap           |Portugal    |   6|  113|Data Scientist            |
|sap           |Portugal    |   6|  113|Data Analyst              |
|sap           |Portugal    |   6|  113|Data Engineer             |
|sap           |Portugal    |   6|  113|Business Analyst          |
|python        |France      | 136|  113|Machine Learning Engineer |
|python        |France      | 136|  113|Data Scientist            |
|python        |France      | 136|  113|Senior Data Engineer      |
|python        |France      | 136|  113|Business Analyst          |
|python        |France      | 136|  113|Data Engineer             |
|python        |France      | 136|  113|Data Analyst              |
|python        |France      | 136|  113|Software Engineer         |
|python        |France      | 136|  113|Senior Data Analyst       |
|python        |France      | 136|  113|Senior Data Scientist     |
|python        |France      | 136|  113|Cloud Engineer            |
|flask         |Greece      |   3|  113|Senior Data Scientist     |
|flask         |Greece      |   3|  113|Machine Learning Engineer |
|flask         |Greece      |   3|  113|Data Analyst              |
|gcp           |France      |  28|  113|Machine Learning Engineer |
|gcp           |France      |  28|  113|Data Engineer             |
|gcp           |France      |  28|  113|Data Analyst              |
|gcp           |France      |  28|  113|Data Scientist            |
|gcp           |France      |  28|  113|Senior Data Scientist     |
|gcp           |France      |  28|  113|Senior Data Engineer      |
|pytorch       |Germany     |  13|  113|Machine Learning Engineer |
|pytorch       |Germany     |  13|  113|Data Scientist            |
|pytorch       |Germany     |  13|  113|Senior Data Scientist     |
|javascript    |Germany     |   4|  113|Business Analyst          |
|javascript    |Germany     |   4|  113|Senior Data Analyst       |
|javascript    |Germany     |   4|  113|Software Engineer         |
|javascript    |Germany     |   4|  113|Data Analyst              |
|kubernetes    |Spain       |   8|  113|Machine Learning Engineer |
|kubernetes    |Spain       |   8|  113|Senior Data Engineer      |
|kubernetes    |Spain       |   8|  113|Data Engineer             |
|kubernetes    |Spain       |   8|  113|Software Engineer         |
|kubernetes    |Spain       |   8|  113|Cloud Engineer            |
|sql           |Hungary     |  22|  113|Machine Learning Engineer |
|sql           |Hungary     |  22|  113|Data Scientist            |
|sql           |Hungary     |  22|  113|Data Analyst              |
|sql           |Hungary     |  22|  113|Senior Data Analyst       |
|sql           |Hungary     |  22|  113|Data Engineer             |
|sql           |Hungary     |  22|  113|Software Engineer         |
|sql           |Hungary     |  22|  113|Senior Data Scientist     |
|sql           |Hungary     |  22|  113|Senior Data Engineer      |
|sql           |Spain       |  68|  112|Senior Data Engineer      |
|sql           |Spain       |  68|  112|Data Scientist            |
|sql           |Spain       |  68|  112|Software Engineer         |
|sql           |Spain       |  68|  112|Data Analyst              |
|sql           |Spain       |  68|  112|Data Engineer             |
|sql           |Spain       |  68|  112|Senior Data Analyst       |
|sql           |Spain       |  68|  112|Senior Data Scientist     |
|sql           |Spain       |  68|  112|Business Analyst          |
|sql           |Spain       |  68|  112|Machine Learning Engineer |
|flow          |Germany     |   3|  112|Data Scientist            |
|flow          |Germany     |   3|  112|Business Analyst          |
|flow          |Germany     |   3|  112|Senior Data Engineer      |
|sql           |Romania     |  19|  112|Senior Data Analyst       |
|sql           |Romania     |  19|  112|Data Analyst              |
|sql           |Romania     |  19|  112|Data Scientist            |
|sql           |Romania     |  19|  112|Software Engineer         |
|sql           |Romania     |  19|  112|Senior Data Engineer      |
|sql           |Romania     |  19|  112|Data Engineer             |
|pyspark       |France      |   7|  112|Data Engineer             |
|pyspark       |France      |   7|  112|Data Scientist            |
|pyspark       |France      |   7|  112|Senior Data Scientist     |
|pyspark       |France      |   7|  112|Data Analyst              |
|databricks    |Netherlands |  13|  112|Data Engineer             |
|databricks    |Netherlands |  13|  112|Senior Data Engineer      |
|databricks    |Netherlands |  13|  112|Data Analyst              |
|databricks    |Netherlands |  13|  112|Machine Learning Engineer |
|tensorflow    |Romania     |   3|  112|Software Engineer         |
|tensorflow    |Romania     |   3|  112|Senior Data Analyst       |
|tensorflow    |Romania     |   3|  112|Machine Learning Engineer |
|pytorch       |Romania     |   3|  112|Software Engineer         |
|pytorch       |Romania     |   3|  112|Senior Data Analyst       |
|pytorch       |Romania     |   3|  112|Machine Learning Engineer |
|docker        |Romania     |   6|  112|Senior Data Engineer      |
|docker        |Romania     |   6|  112|Software Engineer         |
|docker        |Romania     |   6|  112|Machine Learning Engineer |
|docker        |Romania     |   6|  112|Data Scientist            |
|kubernetes    |Finland     |   7|  112|Software Engineer         |
|kubernetes    |Finland     |   7|  112|Machine Learning Engineer |
|kubernetes    |Finland     |   7|  112|Data Engineer             |
|kubernetes    |Finland     |   7|  112|Senior Data Engineer      |
|gcp           |Hungary     |   4|  112|Senior Data Analyst       |
|gcp           |Hungary     |   4|  112|Machine Learning Engineer |
|gcp           |Hungary     |   4|  112|Data Analyst              |
|gcp           |Hungary     |   4|  112|Data Engineer             |
|julia         |Sweden      |   2|  112|Data Scientist            |
|julia         |Sweden      |   2|  112|Data Engineer             |
|terraform     |Romania     |   3|  112|Senior Data Engineer      |
|terraform     |Romania     |   3|  112|Machine Learning Engineer |
|terraform     |Ireland     |   3|  112|Software Engineer         |
|terraform     |Ireland     |   3|  112|Data Engineer             |
|terraform     |Ireland     |   3|  112|Senior Data Engineer      |
|gitlab        |Germany     |   3|  112|Senior Data Engineer      |
|gitlab        |Germany     |   3|  112|Cloud Engineer            |
|gitlab        |Germany     |   3|  112|Software Engineer         |
|github        |Spain       |   8|  112|Data Scientist            |
|github        |Spain       |   8|  112|Machine Learning Engineer |
|github        |Spain       |   8|  112|Data Engineer             |
|github        |Spain       |   8|  112|Software Engineer         |
|tableau       |Finland     |   2|  112|Senior Data Analyst       |
|tableau       |Finland     |   2|  112|Data Analyst              |
|go            |Sweden      |   6|  112|Senior Data Engineer      |
|go            |Sweden      |   6|  112|Business Analyst          |
|go            |Sweden      |   6|  112|Data Engineer             |
|go            |Sweden      |   6|  112|Machine Learning Engineer |
|power bi      |Netherlands |   7|  111|Business Analyst          |
|power bi      |Netherlands |   7|  111|Senior Data Scientist     |
|power bi      |Netherlands |   7|  111|Data Analyst              |
|power bi      |Netherlands |   7|  111|Data Scientist            |
|c#            |Greece      |   3|  111|Software Engineer         |
|c#            |Greece      |   3|  111|Data Engineer             |
|c#            |Greece      |   3|  111|Data Scientist            |
|outlook       |Netherlands |   2|  111|Data Analyst              |
|typescript    |Finland     |   2|  111|Software Engineer         |
|typescript    |Finland     |   2|  111|Machine Learning Engineer |
|kafka         |Spain       |  13|  111|Data Engineer             |
|kafka         |Spain       |  13|  111|Data Analyst              |
|kafka         |Spain       |  13|  111|Senior Data Engineer      |
|kafka         |Spain       |  13|  111|Machine Learning Engineer |
|pyspark       |Italy       |   4|  111|Data Scientist            |
|pyspark       |Italy       |   4|  111|Data Engineer             |
|python        |Romania     |  15|  111|Software Engineer         |
|python        |Romania     |  15|  111|Data Analyst              |
|python        |Romania     |  15|  111|Senior Data Engineer      |
|python        |Romania     |  15|  111|Senior Data Analyst       |
|python        |Romania     |  15|  111|Machine Learning Engineer |
|python        |Romania     |  15|  111|Data Engineer             |
|python        |Romania     |  15|  111|Data Scientist            |
|windows       |France      |   3|  111|Data Engineer             |
|windows       |France      |   3|  111|Data Analyst              |
|windows       |France      |   3|  111|Data Scientist            |
|angular       |Spain       |   5|  111|Senior Data Analyst       |
|angular       |Spain       |   5|  111|Data Analyst              |
|angular       |Spain       |   5|  111|Data Engineer             |
|angular       |Spain       |   5|  111|Data Scientist            |
|vba           |Ireland     |   2|  111|Data Scientist            |
|vba           |Ireland     |   2|  111|Data Analyst              |
|terraform     |Poland      |   8|  110|Senior Data Engineer      |
|terraform     |Poland      |   8|  110|Data Engineer             |
|terraform     |Poland      |   8|  110|Software Engineer         |
|terraform     |Poland      |   8|  110|Senior Data Scientist     |
|aws           |Finland     |   7|  110|Data Engineer             |
|aws           |Finland     |   7|  110|Software Engineer         |
|aws           |Finland     |   7|  110|Data Scientist            |
|aws           |Finland     |   7|  110|Senior Data Scientist     |
|aws           |Finland     |   7|  110|Senior Data Engineer      |
|pandas        |Poland      |  11|  110|Data Analyst              |
|pandas        |Poland      |  11|  110|Data Engineer             |
|pandas        |Poland      |  11|  110|Machine Learning Engineer |
|pandas        |Poland      |  11|  110|Senior Data Scientist     |
|pandas        |Poland      |  11|  110|Data Scientist            |
|pandas        |Poland      |  11|  110|Cloud Engineer            |
|looker        |Spain       |  13|  110|Data Scientist            |
|looker        |Spain       |  13|  110|Senior Data Engineer      |
|looker        |Spain       |  13|  110|Data Analyst              |
|looker        |Spain       |  13|  110|Data Engineer             |
|looker        |Spain       |  13|  110|Senior Data Analyst       |
|looker        |Spain       |  13|  110|Machine Learning Engineer |
|postgresql    |Hungary     |   2|  110|Data Scientist            |
|postgresql    |Hungary     |   2|  110|Software Engineer         |
|docker        |Belgium     |   2|  110|Data Engineer             |
|docker        |Belgium     |   2|  110|Data Scientist            |
|databricks    |Spain       |  16|  110|Data Analyst              |
|databricks    |Spain       |  16|  110|Data Engineer             |
|databricks    |Spain       |  16|  110|Machine Learning Engineer |
|databricks    |Spain       |  16|  110|Data Scientist            |
|databricks    |Spain       |  16|  110|Senior Data Engineer      |
|databricks    |Spain       |  16|  110|Senior Data Analyst       |
|hadoop        |Romania     |   4|  110|Machine Learning Engineer |
|hadoop        |Romania     |   4|  110|Data Engineer             |
|hadoop        |Romania     |   4|  110|Data Scientist            |
|databricks    |Greece      |  10|  110|Data Scientist            |
|databricks    |Greece      |  10|  110|Data Analyst              |
|databricks    |Greece      |  10|  110|Data Engineer             |
|databricks    |Greece      |  10|  110|Senior Data Scientist     |
|databricks    |Greece      |  10|  110|Machine Learning Engineer |
|databricks    |Greece      |  10|  110|Senior Data Engineer      |
|ansible       |France      |  13|  110|Data Analyst              |
|ansible       |France      |  13|  110|Data Engineer             |
|ansible       |France      |  13|  110|Business Analyst          |
|ansible       |France      |  13|  110|Data Scientist            |
|scikit-learn  |Greece      |   6|  110|Data Scientist            |
|scikit-learn  |Greece      |   6|  110|Machine Learning Engineer |
|scala         |Belgium     |   3|  110|Data Analyst              |
|scala         |Belgium     |   3|  110|Data Engineer             |
|scala         |Belgium     |   3|  110|Data Scientist            |
|sql           |France      | 110|  109|Data Scientist            |
|sql           |France      | 110|  109|Senior Data Engineer      |
|sql           |France      | 110|  109|Data Analyst              |
|sql           |France      | 110|  109|Data Engineer             |
|sql           |France      | 110|  109|Software Engineer         |
|sql           |France      | 110|  109|Senior Data Analyst       |
|sql           |France      | 110|  109|Machine Learning Engineer |
|sql           |France      | 110|  109|Senior Data Scientist     |
|sql           |France      | 110|  109|Business Analyst          |
|c             |Germany     |   4|  109|Cloud Engineer            |
|c             |Germany     |   4|  109|Software Engineer         |
|c             |Germany     |   4|  109|Machine Learning Engineer |
|dynamodb      |Spain       |   2|  109|Data Scientist            |
|dynamodb      |Spain       |   2|  109|Machine Learning Engineer |
|word          |Ireland     |   1|  109|Machine Learning Engineer |
|jupyter       |Ireland     |   1|  109|Machine Learning Engineer |
|java          |Greece      |  19|  109|Data Engineer             |
|java          |Greece      |  19|  109|Machine Learning Engineer |
|java          |Greece      |  19|  109|Software Engineer         |
|java          |Greece      |  19|  109|Data Analyst              |
|java          |Greece      |  19|  109|Senior Data Engineer      |
|java          |Greece      |  19|  109|Data Scientist            |
|java          |Germany     |  18|  109|Data Analyst              |
|java          |Germany     |  18|  109|Business Analyst          |
|java          |Germany     |  18|  109|Machine Learning Engineer |
|java          |Germany     |  18|  109|Software Engineer         |
|java          |Germany     |  18|  109|Senior Data Engineer      |
|java          |Germany     |  18|  109|Data Engineer             |
|java          |Germany     |  18|  109|Data Scientist            |
|java          |Germany     |  18|  109|Senior Data Scientist     |
|scala         |Greece      |  12|  109|Data Engineer             |
|scala         |Greece      |  12|  109|Machine Learning Engineer |
|scala         |Greece      |  12|  109|Senior Data Engineer      |
|sql           |Belgium     |  28|  109|Data Scientist            |
|sql           |Belgium     |  28|  109|Machine Learning Engineer |
|sql           |Belgium     |  28|  109|Data Analyst              |
|sql           |Belgium     |  28|  109|Data Engineer             |
|sql           |Belgium     |  28|  109|Business Analyst          |
|sql           |Belgium     |  28|  109|Software Engineer         |
|word          |Italy       |   1|  109|Software Engineer         |
|sas           |Germany     |   2|  109|Data Analyst              |
|jira          |Sweden      |   1|  109|Data Analyst              |
|qlik          |Greece      |   3|  109|Senior Data Scientist     |
|qlik          |Greece      |   3|  109|Data Engineer             |
|qlik          |Greece      |   3|  109|Data Scientist            |
|keras         |France      |   9|  109|Machine Learning Engineer |
|keras         |France      |   9|  109|Data Scientist            |
|keras         |France      |   9|  109|Software Engineer         |
|keras         |France      |   9|  109|Senior Data Scientist     |
|keras         |France      |   9|  109|Data Engineer             |
|databricks    |Belgium     |   7|  109|Data Engineer             |
|databricks    |Belgium     |   7|  109|Data Analyst              |
|r             |Netherlands |  10|  108|Data Analyst              |
|r             |Netherlands |  10|  108|Data Scientist            |
|excel         |Ireland     |   7|  108|Data Scientist            |
|excel         |Ireland     |   7|  108|Data Analyst              |
|excel         |Ireland     |   7|  108|Data Engineer             |
|react         |Spain       |   5|  108|Senior Data Scientist     |
|react         |Spain       |   5|  108|Senior Data Analyst       |
|react         |Spain       |   5|  108|Data Analyst              |
|react         |Spain       |   5|  108|Data Scientist            |
|node.js       |Spain       |   5|  108|Senior Data Scientist     |
|node.js       |Spain       |   5|  108|Senior Data Analyst       |
|node.js       |Spain       |   5|  108|Data Analyst              |
|node.js       |Spain       |   5|  108|Data Scientist            |
|github        |France      |  11|  108|Data Scientist            |
|github        |France      |  11|  108|Data Analyst              |
|github        |France      |  11|  108|Data Engineer             |
|github        |France      |  11|  108|Senior Data Engineer      |
|github        |France      |  11|  108|Senior Data Scientist     |
|azure         |Italy       |   7|  108|Data Engineer             |
|azure         |Italy       |   7|  108|Data Analyst              |
|azure         |Italy       |   7|  108|Data Scientist            |
|jira          |Spain       |   6|  108|Data Engineer             |
|jira          |Spain       |   6|  108|Senior Data Engineer      |
|jira          |Spain       |   6|  108|Software Engineer         |
|powerpoint    |Netherlands |   1|  108|Data Analyst              |
|ms access     |Netherlands |   1|  108|Data Analyst              |
|html          |France      |   1|  108|Machine Learning Engineer |
|gdpr          |Finland     |   1|  108|Senior Data Engineer      |
|css           |France      |   1|  108|Machine Learning Engineer |
|linux         |Netherlands |   9|  108|Data Engineer             |
|linux         |Netherlands |   9|  108|Machine Learning Engineer |
|github        |Poland      |  13|  108|Senior Data Engineer      |
|github        |Poland      |  13|  108|Data Engineer             |
|github        |Poland      |  13|  108|Software Engineer         |
|github        |Poland      |  13|  108|Machine Learning Engineer |
|r             |Poland      |  16|  108|Data Analyst              |
|r             |Poland      |  16|  108|Software Engineer         |
|r             |Poland      |  16|  108|Data Scientist            |
|r             |Poland      |  16|  108|Senior Data Engineer      |
|r             |Poland      |  16|  108|Data Engineer             |
|r             |Poland      |  16|  108|Senior Data Analyst       |
|r             |Poland      |  16|  108|Machine Learning Engineer |
|r             |Italy       |   9|  108|Data Scientist            |
|r             |Italy       |   9|  108|Data Analyst              |
|r             |Italy       |   9|  108|Senior Data Analyst       |
|r             |Italy       |   9|  108|Senior Data Scientist     |
|r             |Belgium     |  11|  108|Data Scientist            |
|r             |Belgium     |  11|  108|Machine Learning Engineer |
|r             |Belgium     |  11|  108|Data Analyst              |
|looker        |Romania     |   2|  108|Senior Data Analyst       |
|looker        |Romania     |   2|  108|Data Engineer             |
|keras         |Italy       |   1|  108|Machine Learning Engineer |
|flow          |Netherlands |   4|  107|Data Engineer             |
|flow          |Netherlands |   4|  107|Data Scientist            |
|flow          |Netherlands |   4|  107|Machine Learning Engineer |
|go            |Portugal    |   9|  107|Software Engineer         |
|go            |Portugal    |   9|  107|Data Analyst              |
|go            |Portugal    |   9|  107|Data Engineer             |
|go            |Portugal    |   9|  107|Senior Data Analyst       |
|go            |Portugal    |   9|  107|Senior Data Scientist     |
|go            |Portugal    |   9|  107|Data Scientist            |
|keras         |Poland      |   3|  107|Data Scientist            |
|keras         |Poland      |   3|  107|Machine Learning Engineer |
|azure         |Romania     |  10|  107|Software Engineer         |
|azure         |Romania     |  10|  107|Machine Learning Engineer |
|azure         |Romania     |  10|  107|Data Engineer             |
|azure         |Romania     |  10|  107|Data Scientist            |
|azure         |Romania     |  10|  107|Data Analyst              |
|azure         |Romania     |  10|  107|Senior Data Engineer      |
|java          |Italy       |   7|  107|Data Analyst              |
|java          |Italy       |   7|  107|Data Engineer             |
|terraform     |Spain       |   7|  107|Senior Data Engineer      |
|terraform     |Spain       |   7|  107|Data Engineer             |
|kafka         |Sweden      |   2|  107|Senior Data Scientist     |
|kafka         |Sweden      |   2|  107|Data Engineer             |
|fastapi       |Greece      |   2|  107|Machine Learning Engineer |
|fastapi       |Greece      |   2|  107|Data Scientist            |
|tableau       |Germany     |  29|  107|Senior Data Analyst       |
|tableau       |Germany     |  29|  107|Senior Data Scientist     |
|tableau       |Germany     |  29|  107|Data Analyst              |
|tableau       |Germany     |  29|  107|Business Analyst          |
|tableau       |Germany     |  29|  107|Data Scientist            |
|tableau       |Germany     |  29|  107|Data Engineer             |
|java          |Belgium     |   3|  107|Data Analyst              |
|java          |Belgium     |   3|  107|Senior Data Engineer      |
|java          |Belgium     |   3|  107|Data Scientist            |
|c++           |Germany     |  13|  107|Software Engineer         |
|c++           |Germany     |  13|  107|Machine Learning Engineer |
|c++           |Germany     |  13|  107|Data Engineer             |
|c++           |Germany     |  13|  107|Cloud Engineer            |
|aws           |Greece      |  15|  107|Machine Learning Engineer |
|aws           |Greece      |  15|  107|Data Engineer             |
|aws           |Greece      |  15|  107|Business Analyst          |
|aws           |Greece      |  15|  107|Data Analyst              |
|scala         |Italy       |   7|  107|Data Engineer             |
|scala         |Italy       |   7|  107|Data Scientist            |
|scala         |Italy       |   7|  107|Senior Data Analyst       |
|pandas        |Greece      |   3|  106|Data Engineer             |
|pandas        |Greece      |   3|  106|Machine Learning Engineer |
|r             |Germany     |  19|  106|Data Analyst              |
|r             |Germany     |  19|  106|Business Analyst          |
|r             |Germany     |  19|  106|Machine Learning Engineer |
|r             |Germany     |  19|  106|Senior Data Scientist     |
|r             |Germany     |  19|  106|Senior Data Analyst       |
|r             |Germany     |  19|  106|Data Scientist            |
|tableau       |Spain       |  21|  106|Data Analyst              |
|tableau       |Spain       |  21|  106|Data Engineer             |
|tableau       |Spain       |  21|  106|Senior Data Analyst       |
|tableau       |Spain       |  21|  106|Data Scientist            |
|tableau       |Spain       |  21|  106|Machine Learning Engineer |
|gdpr          |Italy       |   3|  106|Data Engineer             |
|gdpr          |Italy       |   3|  106|Data Scientist            |
|unify         |Netherlands |   2|  106|Senior Data Engineer      |
|unify         |Netherlands |   2|  106|Data Engineer             |
|atlassian     |Germany     |   1|  106|Data Analyst              |
|docker        |Greece      |  13|  106|Data Scientist            |
|docker        |Greece      |  13|  106|Data Engineer             |
|docker        |Greece      |  13|  106|Machine Learning Engineer |
|docker        |Greece      |  13|  106|Data Analyst              |
|r             |Spain       |  16|  106|Senior Data Engineer      |
|r             |Spain       |  16|  106|Data Scientist            |
|r             |Spain       |  16|  106|Data Analyst              |
|r             |Spain       |  16|  106|Machine Learning Engineer |
|r             |Spain       |  16|  106|Business Analyst          |
|r             |Spain       |  16|  106|Senior Data Scientist     |
|r             |Spain       |  16|  106|Senior Data Analyst       |
|gitlab        |France      |   7|  105|Data Engineer             |
|gitlab        |France      |   7|  105|Data Analyst              |
|gitlab        |France      |   7|  105|Data Scientist            |
|scala         |Poland      |  25|  105|Data Engineer             |
|scala         |Poland      |  25|  105|Data Scientist            |
|scala         |Poland      |  25|  105|Senior Data Engineer      |
|scala         |Poland      |  25|  105|Software Engineer         |
|scala         |Poland      |  25|  105|Machine Learning Engineer |
|tensorflow    |Greece      |  12|  105|Software Engineer         |
|tensorflow    |Greece      |  12|  105|Machine Learning Engineer |
|tensorflow    |Greece      |  12|  105|Data Scientist            |
|azure         |France      |  45|  105|Machine Learning Engineer |
|azure         |France      |  45|  105|Data Analyst              |
|azure         |France      |  45|  105|Data Engineer             |
|azure         |France      |  45|  105|Senior Data Engineer      |
|azure         |France      |  45|  105|Data Scientist            |
|azure         |France      |  45|  105|Software Engineer         |
|azure         |France      |  45|  105|Senior Data Analyst       |
|pulumi        |Hungary     |   2|  105|Senior Data Engineer      |
|pulumi        |Hungary     |   2|  105|Machine Learning Engineer |
|neo4j         |France      |   3|  105|Data Analyst              |
|neo4j         |France      |   3|  105|Data Engineer             |
|r             |France      |  24|  105|Machine Learning Engineer |
|r             |France      |  24|  105|Data Scientist            |
|r             |France      |  24|  105|Data Analyst              |
|r             |France      |  24|  105|Senior Data Analyst       |
|r             |France      |  24|  105|Senior Data Scientist     |
|r             |France      |  24|  105|Data Engineer             |
|r             |France      |  24|  105|Senior Data Engineer      |
|sql server    |France      |   4|  105|Data Analyst              |
|sql server    |France      |   4|  105|Software Engineer         |
|sql server    |France      |   4|  105|Data Engineer             |
|sql server    |France      |   4|  105|Data Scientist            |
|jenkins       |Hungary     |   4|  105|Data Scientist            |
|jenkins       |Hungary     |   4|  105|Machine Learning Engineer |
|jenkins       |Hungary     |   4|  105|Data Engineer             |
|python        |Greece      |  59|  105|Data Scientist            |
|python        |Greece      |  59|  105|Data Analyst              |
|python        |Greece      |  59|  105|Data Engineer             |
|python        |Greece      |  59|  105|Machine Learning Engineer |
|python        |Greece      |  59|  105|Senior Data Scientist     |
|python        |Greece      |  59|  105|Software Engineer         |
|python        |Greece      |  59|  105|Business Analyst          |
|python        |Greece      |  59|  105|Senior Data Engineer      |
|sql           |Italy       |  21|  105|Data Engineer             |
|sql           |Italy       |  21|  105|Business Analyst          |
|sql           |Italy       |  21|  105|Senior Data Analyst       |
|sql           |Italy       |  21|  105|Machine Learning Engineer |
|sql           |Italy       |  21|  105|Data Scientist            |
|sql           |Italy       |  21|  105|Data Analyst              |
|spreadsheet   |Spain       |   2|  105|Data Analyst              |
|c++           |Hungary     |   2|  105|Data Scientist            |
|c++           |Hungary     |   2|  105|Data Engineer             |
|c++           |France      |   9|  105|Data Scientist            |
|c++           |France      |   9|  105|Machine Learning Engineer |
|c++           |France      |   9|  105|Software Engineer         |
|c++           |France      |   9|  105|Data Analyst              |
|c++           |France      |   9|  105|Senior Data Analyst       |
|c++           |France      |   9|  105|Data Engineer             |
|pyspark       |Portugal    |   4|  105|Data Engineer             |
|pyspark       |Portugal    |   4|  105|Data Scientist            |
|ssrs          |Greece      |   4|  105|Data Engineer             |
|ssrs          |Greece      |   4|  105|Senior Data Scientist     |
|oracle        |Poland      |   7|  104|Data Analyst              |
|oracle        |Poland      |   7|  104|Software Engineer         |
|oracle        |Poland      |   7|  104|Data Scientist            |
|oracle        |Poland      |   7|  104|Machine Learning Engineer |
|oracle        |Poland      |   7|  104|Senior Data Engineer      |
|oracle        |Poland      |   7|  104|Business Analyst          |
|oracle        |Poland      |   7|  104|Data Engineer             |
|sql server    |Belgium     |   9|  104|Data Engineer             |
|sql server    |Belgium     |   9|  104|Business Analyst          |
|sql server    |Belgium     |   9|  104|Data Analyst              |
|seaborn       |Spain       |   1|  104|Machine Learning Engineer |
